"Company Country","Job Number","Project Name","Client PO","No of Pages","Net Price","Gross Price",Company,"Due Date","Status Vendor",Invoice,Paid
"United Kingdom",37,"RKH RH 2012",WRP,15,300,300,"Rockhopper Exploration plc","Jan 01,1970","Pending Sign-off",N/A,
"United Kingdom",38,"RKH RP 2012",WRP,11,300,300,"Rockhopper Exploration plc","Jan 01,1970","Pending Sign-off",N/A,
"United Kingdom",39,"RKH RO(F)",WRP,16,300,300,"Rockhopper Exploration plc","Jan 01,1970","Pending Sign-off",N/A,
"United Kingdom",40,"RKH RO(UK) 2012",WRP,13,300,300,"Rockhopper Exploration plc","Jan 01,1970","Pending Sign-off",N/A,
"United Kingdom",41,"RKH RR 2012",WRP,14,300,300,"Rockhopper Exploration plc","Jan 01,1970","Pending Sign-off",N/A,
"United Kingdom",42,"Metro Universal accts 2011","MUL 2011",10,200,200,"Metroven Limited","Jan 01,1970","Pending Sign-off",N/A,
India,43,"Synbiotix Limited",1252,1,24.7,24.7,"IRIS Resourcing","Jan 01,1970","Pending Sign-off",N/A,
India,44,"DARLEYCREST INVESTMENTS LIMITED",1254,18,39,39,"IRIS Resourcing","Jan 01,1970","Pending Sign-off",N/A,
India,45,"Combined Edible Nut Trade Association",1255,1,24.7,24.7,"IRIS Resourcing","Jan 01,1970","Pending Sign-off",N/A,
"United Kingdom",46,TMSWE,86690,26,350,350,"Rawlinson & Hunter","Jul 07,2012","Pending Sign-off",902,
"United Kingdom",54,"Ultrasis UK PLC","Ultrasis UK PLC",25,350,350,"Ultrasis PLC","Jul 11,2012","Pending Sign-off",N/A,
"United Kingdom",56,"Mindtech Ltd 2011","Mindtech Ltd 2011",12,300,300,"Ultrasis PLC","Jul 11,2012","Pending Sign-off",N/A,
"United Kingdom",59,"Ultrasis UK Ltd 2011","Ultrasis UK Ltd 2011",19,300,300,"Ultrasis PLC","Jul 11,2012","Pending Sign-off",N/A,
,63,"QA TEST JOB",,12,179,179,,"Apr 17,2011",Cancelled,N/A,
,64,"NEW QA JOB",,2,99,99,,"Apr 17,2011",Paid,N/A,
,65,"TEST JOB 04-11",,21,399,399,,"Apr 20,2011",Cancelled,N/A,
"United Kingdom",66,"TEST JOB #1",,10,99,99,"JHS Client Ltd.","Apr 20,2011",Cancelled,N/A,
,67,TEST,,11,179,179,,"Apr 20,2011",Paid,"67,67,",
,68,"TEST JOB 02",,11,179,179,,"Apr 20,2011",Paid,N/A,
,69,"TEST JOB 3",,1,99,99,,"Apr 20,2011",Cancelled,N/A,
,70,"TEST JOB 04",,21,798,798,,"Apr 21,2011",Paid,N/A,
"United Kingdom",71,"FIMY (Bristol) Limited",,12,179,179,"BDO Alto Limited","Jun 04,2011",Paid,N/A,
"United Kingdom",72,"Agency 31Dec2010",,43,399,399,"Global Aerospace","Jun 12,2011",Paid,N/A,
"United Kingdom",73,"ATEP 2008 GP Limited",,13,300,300,"Alliance trust PLC","Jun 29,2011",Invoiced,N/A,
"United Kingdom",74,"Alliance Trust Services Limited",,14,300,300,"Alliance trust PLC","Jun 29,2011",Invoiced,N/A,
"United Kingdom",75,"Homedoc Limited",,8,99,99,"Company Associates","Jun 30,2011",Invoiced,N/A,
"United Kingdom",76,"Homedoc Limited",,1,19,19,"Company Associates","Jun 30,2011",Invoiced,N/A,
"United Kingdom",77,"Alliance Trust Finance",,9,300,300,"Alliance trust PLC","Jul 01,2011",Invoiced,N/A,
"United Kingdom",78,"Alliance Trust Savings Limited",,18,300,300,"Alliance trust PLC","Jul 01,2011",Invoiced,N/A,
"United Kingdom",79,"Alliance Trust Equity Partners (Holdings) Limited",,13,350,350,"Alliance trust PLC","Jul 01,2011",Invoiced,N/A,
"United Kingdom",80,"Alliance Trust Equity Partners",,10,300,300,"Alliance trust PLC","Jul 01,2011",Invoiced,N/A,
"United Kingdom",81,"Albany Venture Managers GP Limited",,11,300,300,"Alliance trust PLC","Jul 01,2011",Invoiced,N/A,
"United Kingdom",82,"Albany Ventures Gp 1 Limited",,10,300,300,"Alliance trust PLC","Jul 01,2011",Invoiced,N/A,
"United Kingdom",83,"ATEP 2009 GP Limited",,10,300,300,"Alliance trust PLC","Jul 01,2011",Invoiced,N/A,
"United Kingdom",84,"ATEP 2007 GP Limited",,9,300,300,"Alliance trust PLC","Jul 01,2011",Invoiced,N/A,
"United Kingdom",85,"ATEP 2010 GP Limited",,9,300,300,"Alliance trust PLC","Jul 01,2011",Invoiced,N/A,
"United Kingdom",86,"Alliance Trust Asset Management Limited",,12,300,300,"Alliance trust PLC","Jul 01,2011",Invoiced,N/A,
"United Kingdom",87,"Alliance Trust (PEMANCO) Limited",,7,300,300,"Alliance trust PLC","Jul 01,2011",Invoiced,N/A,
"United Kingdom",88,"Alliance Trust PLC",,43,550,550,"Alliance trust PLC","Jul 01,2011",Invoiced,N/A,
"United Kingdom",89,Accountant,,19,300,300,"Payden & Rygel Global Ltd","Jul 07,2011",Invoiced,N/A,
"United Kingdom",90,Accounts,,15,30,30,"Great Hyde Hall Management Company Limited","Jul 08,2011",Cancelled,N/A,
"United Kingdom",91,LP,,6,200,200,"Great Hyde Hall Management Company Limited","Jul 08,2011",Paid,N/A,
"United Kingdom",92,LP,,9,19,19,"Great Hyde Hall Management Company Limited","Jul 08,2011",Paid,N/A,
"United Kingdom",93,"Viking Global Investors Europe Management Ltd 2010",,20,179,179,"Throgmorton UK Ltd","Jul 08,2011","Submitted To Billing",N/A,Paid
"United Kingdom",94,"FERREXPO FINANCE PLC 2010",,26,399,399,"Throgmorton UK Ltd","Jul 10,2011","Submitted To Billing",N/A,Paid
"United Kingdom",95,"Rent A Roof Ltd",,9,99,99,"Company Associates","Jul 14,2011",Invoiced,N/A,
"United Kingdom",96,"Rent A Roof Computaions",,1,19,19,"Company Associates","Jul 14,2011",Invoiced,N/A,
"United Kingdom",97,"Twinson DG Limited",,8,99,99,"Company Associates","Jul 14,2011",Invoiced,N/A,
"United Kingdom",98,"Twinson DG limited",,1,19,19,"Company Associates","Jul 14,2011",Invoiced,N/A,
"United Kingdom",99,"White Ball Limited",,9,99,99,"Company Associates","Jul 14,2011",Invoiced,N/A,
"United Kingdom",100,"White Ball Limited",,1,19,19,"Company Associates","Jul 14,2011",Invoiced,N/A,
"United Kingdom",101,"Goldcrest Advice & Guidance Centre Limited",,9,99,99,"Company Associates","Jul 15,2011",Invoiced,N/A,
"United Kingdom",102,"Goldcrest Advice & Guidance Centre Limited",,1,19,19,"Company Associates","Jul 15,2011",Invoiced,N/A,
"United Kingdom",103,"Global Translation Services Limited",,9,99,99,"Company Associates","Jul 15,2011",Invoiced,N/A,
"United Kingdom",104,"Global Translation Services Limited",,1,19,19,"Company Associates","Jul 15,2011",Invoiced,N/A,
Netherlands,105,"Obem Ltd",,16,179,179,"Omni Bridgeway Holding B.V.","Jul 15,2011",Invoiced,N/A,
Netherlands,106,"EMTF Ltd.",,13,179,179,"Omni Bridgeway Holding B.V.","Jul 15,2011",Invoiced,N/A,
"United Kingdom",107,DPM,,9,200,200,"Roverth Ltd","Jul 21,2011",Paid,N/A,
"United Kingdom",108,"Haymarket Financial (UK) Limited 2010",,18,179,179,"Throgmorton UK Ltd","Jul 22,2011","Submitted To Billing",N/A,Paid
"United Kingdom",109,"Fred Bloggs",,8,99,99,1SX,"Jul 23,2011",Cancelled,N/A,
"United Kingdom",110,"SH Dec 10 Stat Acc",,20,300,300,"Saville Heaton & Co Ltd","Jul 27,2011",Invoiced,N/A,
"United Kingdom",111,"BlueGem General Partner Ltd",,4,200,200,"BlueGem Capital Partners LLP","Jul 27,2011",Invoiced,N/A,Paid
"United Kingdom",112,"Bajwa & Sons Limited Accounts",,8,99,99,"Company Associates","Jul 27,2011",Invoiced,N/A,
"United Kingdom",113,"Bajwa & Sons Limited Tax Comp",,1,19,19,"Company Associates","Jul 27,2011",Invoiced,N/A,
"United Kingdom",114,"John Sisk & Son Ltd",,22,350,350,"John Sisk & Son Ltd","Jul 30,2011",Invoiced,114,
"United Kingdom",115,"JSS Rail Limited",,13,300,300,"John Sisk & Son Ltd","Jul 30,2011",Invoiced,115,
"United Kingdom",116,"West Coast Plant Limited",,12,300,300,"John Sisk & Son Ltd","Jul 30,2011",Invoiced,N/A,
"United Kingdom",117,"Sisk Consolidated Investments Lts",,12,300,300,"John Sisk & Son Ltd","Jul 30,2011",Invoiced,N/A,
"United Kingdom",118,"Bideem Construction Ltd",,10,200,200,"John Sisk & Son Ltd","Jul 30,2011",Invoiced,118,
"United Kingdom",119,"JSS Group Ltd",,11,300,300,"John Sisk & Son Ltd","Jul 30,2011",Invoiced,N/A,
"United Kingdom",120,"QA TEST 07-26-11",,10,19,19,"JHS Client Ltd.","Aug 04,2011",Cancelled,N/A,
Philippines,121,"QA TEST 07-26",,10,20,20,"DG3 Manila","Aug 04,2011",Cancelled,N/A,
"United Kingdom",122,"Ay-Sys solutions Limited accounts",,9,99,99,"Company Associates","Aug 06,2011",Invoiced,N/A,
"United Kingdom",123,"Ay Sys solutions Limited Computations",,1,19,19,"Company Associates","Aug 06,2011",Invoiced,N/A,
"United Kingdom",124,"Royalcap Ltd 2010",,10,99,99,"Throgmorton UK Ltd","Aug 07,2011","Submitted To Billing",N/A,Paid
"United Kingdom",125,"Dom Accounts",,10,128.7,128.7,"JHS Client Ltd.","Jan 01,1970",Cancelled,N/A,
"United Kingdom",126,"Mount Kellett Ltd",,20,179,179,"Throgmorton UK Ltd","Aug 11,2011","Submitted To Billing",N/A,Paid
"United Kingdom",127,"JV Barrett & Co Ltd",,34,400,400,"William Price & Co","Aug 12,2011",Invoiced,N/A,
"United Kingdom",128,"CFCP YE10",,17,300,300,"Ceramic Fuel Cells Powder","Aug 12,2011",Invoiced,N/A,
"United States",129,"Galileo UK 2010 Financials",,9,99,99,"Galileo Weather ","Aug 12,2011",Invoiced,N/A,
"United Kingdom",130,"Addison and Steele",,20,300,300,"BMB Clothing Limited","Aug 13,2011",Invoiced,"874,130,",
"United Kingdom",131,"Worth Valley",,21,350,350,"BMB Clothing Limited","Aug 13,2011",Invoiced,N/A,
"United Kingdom",132,"Test Output Stat Accounts",,10,200,200,"Abc Test Company Ltd","Aug 17,2011",Paid,N/A,
"United Kingdom",133,"Oguzie Limited",,8,99,99,"Company Associates","Aug 17,2011",Invoiced,N/A,
"United Kingdom",134,"Oguzie Limited",,1,19,19,"Company Associates","Aug 17,2011",Invoiced,N/A,
"United Kingdom",135,"Artisan Partners Limited 2010",,20,179,179,"Throgmorton UK Ltd","Aug 18,2011","Submitted To Billing",N/A,Paid
Ireland,136,"Geode Capital International Ltd",,10,200,200,"Fidelity Private Equity UK Ltd","Aug 18,2011",Invoiced,N/A,
"United Kingdom",137,"WFCA accounts",,30,399,399,"WFCA PLC","Aug 19,2011",Paid,N/A,
"United Kingdom",138,"Full Tagging",,49,3800,3800,"Arnold Clark","Aug 19,2011",Paid,N/A,
"United Kingdom",139,"Zentronics Limited accounts",,8,99,99,"Company Associates","Aug 20,2011",Invoiced,N/A,
"United Kingdom",140,"Zentronics Limited",,1,19,19,"Company Associates","Aug 20,2011",Invoiced,N/A,
"United Kingdom",141,"2010 Accounts Tagging",,18,179,179,"edge IPK Ltd","Aug 24,2011",Invoiced,N/A,
"United Kingdom",142,"AGR Automation Limited",,18,300,300,"Blakell Europlacer Limited","Aug 26,2011",Invoiced,N/A,
"United Kingdom",143,BEL,,36,400,400,"Blakell Europlacer Limited","Aug 26,2011",Invoiced,N/A,
"United Kingdom",144,"Plas Supplies Limited",,8,99,99,"Company Associates","Aug 26,2011",Invoiced,N/A,
"United Kingdom",145,"Plas Supplies Limited Computations",,1,19,19,"Company Associates","Aug 26,2011",Invoiced,N/A,
"United Kingdom",146,test,,10,19,19,"JHS Client Ltd.","Aug 26,2011",Cancelled,N/A,
"United Kingdom",147,"Blakell Europlacer (INTL) Limited",,18,300,300,"Blakell Europlacer Limited","Aug 26,2011",Invoiced,N/A,
"United Kingdom",148,"Speed  Print Technology Limited",,16,300,300,"Blakell Europlacer Limited","Aug 26,2011",Invoiced,N/A,
"United Kingdom",149,"TEST - PLEASE IGNORE",,5,99,99,"JHS Client Ltd.","Aug 26,2011",Cancelled,N/A,
"United Kingdom",150,"ANOTHER TEST",,5,99,99,"JHS Client Ltd.","Aug 26,2011",Cancelled,N/A,
"United Kingdom",151,"Rawlinson Dept 1",,18,300,300,"Abc Test Company Ltd","Aug 27,2011",Cancelled,N/A,
"United Kingdom",152,"DG FURBS Limited 2010",,7,128.7,128.7,"Throgmorton UK Ltd","Jan 01,1970","Submitted To Billing",N/A,Paid
"United Kingdom",153,"RS FURBS Limited 2010",,16,232.7,232.7,"Throgmorton UK Ltd","Jan 01,1970","Submitted To Billing",N/A,Paid
"United Kingdom",154,"Bevan Limited Accounts",,8,99,99,"Company Associates","Aug 31,2011",Invoiced,N/A,
"United Kingdom",155,"Bevan Limited computations",,1,19,19,"Company Associates","Aug 31,2011",Invoiced,N/A,
"United Kingdom",156,"Trelander & ST. Clements Community Assn.",,9,260,260,"Truro City Council","Jan 01,1970",Invoiced,N/A,
"United Kingdom",157,"Trelander & ST. Clements Community Assn.",,1,25,25,"Truro City Council","Jan 01,1970",Invoiced,N/A,
"United Kingdom",158,"UNIVERSAL BALANCING LIMITED",,9,200,200,"Roverth Ltd","Sep 01,2011",Invoiced,N/A,
"United Kingdom",159,"Ruby Capital Services Ltd 2011",,19,179,179,"Throgmorton UK Ltd","Sep 01,2011","Submitted To Billing",N/A,Paid
"United Kingdom",160,"Celtic Consolidated",,21,350,350,"Celtic Pacific (UK) Ltd","Sep 01,2011",Invoiced,N/A,
"United Kingdom",161,Supplystill,,14,300,300,"Celtic Pacific (UK) Ltd","Sep 01,2011",Invoiced,161,
"United Kingdom",162,"CP Two",,13,300,300,"Celtic Pacific (UK) Ltd","Sep 01,2011",Invoiced,162,
"United Kingdom",163,"Coca Cola",,15,300,300,"Abc Test Company Ltd","Sep 01,2011",Cancelled,N/A,
"United Kingdom",164,"QA TEST ONLY",,10,20,20,"JHS Client Ltd.","Sep 02,2011",Cancelled,N/A,
"United Kingdom",165,"QA TEST ONLY",,10,19,19,"JHS Client Ltd.","Sep 02,2011",Cancelled,N/A,
"United Kingdom",166,"Catalyst Business Development Limited 2010",,8,99,99,"Throgmorton UK Ltd","Sep 03,2011","Submitted To Billing",N/A,Paid
"United Kingdom",167,"BPL International (UK) Ltd 2010",,19,179,179,"Throgmorton UK Ltd","Sep 04,2011","Submitted To Billing",N/A,Paid
"United Kingdom",168,"Oil - 2011",,11,300,300,"Rockhopper Exploration plc","Sep 09,2011",Invoiced,N/A,
"United Kingdom",169,"Oil Falklands - 2011",,15,300,300,"Rockhopper Exploration plc","Sep 09,2011",Invoiced,N/A,
"United Kingdom",170,Resources,,14,300,300,"Rockhopper Exploration plc","Sep 09,2011",Invoiced,N/A,
"United Kingdom",171,"Hydrocarbons - 2011",,14,300,300,"Rockhopper Exploration plc","Sep 09,2011",Invoiced,N/A,
"United Kingdom",172,"Petrochemicals - 2011",,10,200,200,"Rockhopper Exploration plc","Sep 09,2011",Invoiced,N/A,
"United Kingdom",173,"Exploration - 2011",,48,450,450,"Rockhopper Exploration plc","Sep 09,2011",Invoiced,N/A,
"United Kingdom",174,"Baird Group (Holdings) Limited",,51,470,470,"BMB Clothing Limited","Sep 09,2011",Invoiced,174,
"United Kingdom",175,"Baird Group Limited",,20,300,300,"BMB Clothing Limited","Sep 09,2011",Invoiced,175,
"United Kingdom",176,"BMB Group Limited",,18,300,300,"BMB Clothing Limited","Sep 09,2011",Invoiced,176,
"United Kingdom",177,"BMB Clothing Limited",,41,450,450,"BMB Clothing Limited","Sep 09,2011",Invoiced,"874,177,",
"United Kingdom",178,"Minerals Marketing",,9,99,99,"Accounts 4 Business","Sep 09,2011",Invoiced,N/A,
"United Kingdom",179,"Minerals Marketing Tax Comp",,1,19,19,"Accounts 4 Business","Sep 09,2011",Invoiced,N/A,
"United Kingdom",180,"Rehman & Sons (Birmingham) Ltd",,9,99,99,"Company Associates","Sep 11,2011",Invoiced,N/A,
"United Kingdom",181,"Rehman & Sons (birmingham) Ltd comps",,1,19,19,"Company Associates","Sep 11,2011",Invoiced,N/A,
"United Kingdom",182,"Jaymar Plumbing Services Ltd",,10,99,99,"25 School Lane Limited","Sep 11,2011",Invoiced,N/A,
"United Kingdom",183,"JLP Investment Company Ltd",,16,179,179,"Great Portland Estates","Sep 14,2011",Invoiced,"517,185,184,183,516,515,514,1218,1216,1215,194,193,191,792,189,",
"United Kingdom",184,"Knighton Estates Ltd",,18,179,179,"Great Portland Estates","Sep 14,2011",Invoiced,"517,185,184,183,516,515,514,1218,1216,1215,194,193,191,792,189,",
"United Kingdom",185,"Pontsarn Investments Ltd",,17,179,179,"Great Portland Estates","Sep 14,2011",Invoiced,"517,185,184,183,516,515,514,1218,1216,1215,194,193,191,792,189,",
"United Kingdom",186,"GPE (St Thomas Street) Ltd",,15,179,179,"Great Portland Estates","Sep 14,2011",Invoiced,"1320,1319,1318,1317,1316,188,505,526,1311,511,510,509,508,507,506,529,528,1",
"United Kingdom",187,"Portman Square Properties Ltd",,16,179,179,"Great Portland Estates","Sep 14,2011",Invoiced,"1320,1319,1318,1317,1316,188,505,526,1311,511,510,509,508,507,506,529,528,1",
"United Kingdom",188,"GPE (Marcol House) Ltd",,14,179,179,"Great Portland Estates","Sep 14,2011",Invoiced,"1320,1319,1318,1317,1316,188,505,526,1311,511,510,509,508,507,506,529,528,1",
"United Kingdom",189,"The Great Victoria Partnership (GP) Ltd",,14,179,179,"Great Portland Estates","Sep 14,2011",Invoiced,"517,185,184,183,516,515,514,1218,1216,1215,194,193,191,792,189,",
"United Kingdom",190,"The Great Victoria Partnership (GP) (No 2) Ltd",,11,179,179,"Great Portland Estates","Sep 14,2011",Invoiced,N/A,
"United Kingdom",191,"The Great Wigmore Partnership (GP) Ltd",,13,179,179,"Great Portland Estates","Sep 14,2011",Invoiced,"517,185,184,183,516,515,514,1218,1216,1215,194,193,191,792,189,",
"United Kingdom",192,"Claims Assist UK (Sparkhill) limited accounts",,9,99,99,"Company Associates","Sep 14,2011",Invoiced,N/A,
"United Kingdom",193,"Great Capital Partnership (GP) Ltd",,14,179,179,"Great Portland Estates","Sep 14,2011",Invoiced,"517,185,184,183,516,515,514,1218,1216,1215,194,193,191,792,189,",
"United Kingdom",194,"Great Ropemaker Partnership (GP) Ltd",,12,179,179,"Great Portland Estates","Sep 14,2011",Invoiced,"517,185,184,183,516,515,514,1218,1216,1215,194,193,191,792,189,",
"United Kingdom",195,"Claims Assist Uk (Sparkhill) Limited Computations",,1,19,19,"Company Associates","Sep 14,2011",Invoiced,N/A,
"United Kingdom",196,"The 100 Bishopsgate Partnership (GP 1) Ltd",,13,179,179,"Great Portland Estates","Sep 14,2011",Invoiced,N/A,
"United Kingdom",197,"The 100 Bishopsgate Partnership (GP 2) Ltd",,13,179,179,"Great Portland Estates","Sep 14,2011",Invoiced,N/A,
"United Kingdom",198,"Britel Scotland GP Ltd",,11,255,255,"Hermes Finance","Sep 14,2011",Invoiced,198,
"United Kingdom",199,"BT Pension Scheme Management Ltd",,14,255,255,"Hermes Finance","Sep 14,2011",Invoiced,N/A,
"United Kingdom",200,"Hermes Assured Ltd",,12,255,255,"Hermes Finance","Sep 14,2011",Invoiced,N/A,
"United Kingdom",201,"Hermes Fund Managers Ltd",,59,540,540,"Hermes Finance","Sep 14,2011",Invoiced,N/A,
"United Kingdom",202,"Hermes Investment Management Ltd",,17,255,255,"Hermes Finance","Sep 14,2011",Invoiced,N/A,
"United Kingdom",203,"deloitte test",,18,179,179,Deloitte,"Sep 14,2011",Invoiced,N/A,
"United Kingdom",204,"deloitte test",,15,179,179,Deloitte,"Sep 14,2011",Invoiced,N/A,
"United Kingdom",205,"deloitte test",,13,179,179,Deloitte,"Sep 14,2011",Invoiced,N/A,
"United Kingdom",206,"deloitte test",,13,179,179,Deloitte,"Sep 14,2011",Invoiced,N/A,
"United Kingdom",207,"deloitte test",,21,399,399,Deloitte,"Sep 14,2011",Invoiced,N/A,
"United Kingdom",208,"deloitte test",,22,399,399,Deloitte,"Sep 14,2011","Submitted To Billing",N/A,
"United Kingdom",209,"deloitte test",,18,179,179,Deloitte,"Sep 14,2011",Invoiced,N/A,
"United Kingdom",210,"deloitte test",,30,399,399,Deloitte,"Sep 14,2011","Submitted To Billing",N/A,
"United Kingdom",211,"Hermes Focus Asset Management Ltd",,19,255,255,"Hermes Finance","Sep 14,2011",Invoiced,N/A,
"United Kingdom",212,"Hermes Administration Services Ltd",,14,255,255,"Hermes Finance","Sep 14,2011",Invoiced,N/A,
"United Kingdom",213,"Hermes Asset Management Ltd",,13,255,255,"Hermes Finance","Sep 14,2011",Invoiced,N/A,
"United Kingdom",214,"Hermes Equity Ownership Services Ltd",,15,255,255,"Hermes Finance","Sep 14,2011",Invoiced,N/A,
"United Kingdom",215,"Hermes Sourcecap Ltd",,22,297.5,297.5,"Hermes Finance","Sep 14,2011",Invoiced,N/A,
"United Kingdom",216,"Hermes Focus Asset Management Europe Ltd",,16,255,255,"Hermes Finance","Sep 14,2011",Invoiced,N/A,
"United Kingdom",217,"Possfund Scotland GP Ltd",,11,255,255,"Hermes Finance","Sep 14,2011",Invoiced,N/A,
"United Kingdom",218,"Hermes Private Equity Ltd",,16,255,255,"Hermes Finance","Sep 14,2011",Invoiced,N/A,
"United Kingdom",219,"Hermes Real Estate Investment Management Ltd",,18,255,255,"Hermes Finance","Sep 14,2011",Invoiced,N/A,
"United Kingdom",220,"Hermes Investments North America Ltd",,15,255,255,"Hermes Finance","Sep 14,2011",Invoiced,N/A,
"United Kingdom",221,"Hermes Real Estate Services Ltd",,13,255,255,"Hermes Finance","Sep 14,2011",Invoiced,N/A,
"United Kingdom",222,"Logistics Management Ltd",,13,255,255,"Hermes Finance","Sep 14,2011",Invoiced,N/A,
"United Kingdom",223,"MEPC HPE Ltd",,13,255,255,"Hermes Finance","Sep 14,2011",Invoiced,N/A,
"United Kingdom",224,"Bevan Limited tax computations 2010",,1,19,19,"Company Associates","Sep 15,2011",Invoiced,N/A,
"United Kingdom",225,"Beven Ltd Accounts 2010",,8,99,99,"Company Associates","Sep 15,2011",Invoiced,N/A,
"United Kingdom",226,"QEF Stat account 310311",,41,450,450,"QUEEN ELIZABETH'S FOUNDATION","Sep 16,2011",Invoiced,N/A,
"United Kingdom",227,"QEF Trading Stat accounts 310311",,17,300,300,"QUEEN ELIZABETH'S FOUNDATION","Sep 16,2011",Invoiced,N/A,
"United Kingdom",228,"QEF Trading tax computation",,1,19,19,"QUEEN ELIZABETH'S FOUNDATION","Sep 16,2011",Invoiced,N/A,
"United Kingdom",229,"Statuary Accounts 2010",,21,350,350,"Samsung Techwin Europe Ltd.","Sep 16,2011",Invoiced,N/A,
"United Kingdom",230,"Budget Gas Limited",,18,300,300,"Calor Gas Limited","Sep 17,2011",Invoiced,"230,231,303,232,234,235,",
"United Kingdom",231,"Homeheat Gas Company Limited",,21,350,350,"Calor Gas Limited","Sep 17,2011",Invoiced,"230,231,303,232,234,235,",
"United Kingdom",232,"SHV Energy Holdings UK Limited",,15,300,300,"Calor Gas Limited","Sep 17,2011",Invoiced,"230,231,303,232,234,235,",
"United Kingdom",233,"SHV Gas Trading Limited",,6,200,200,"Calor Gas Limited","Sep 17,2011",Invoiced,N/A,
"United Kingdom",234,"Calor Group Limited",,15,300,300,"Calor Gas Limited","Sep 17,2011",Invoiced,"230,231,303,232,234,235,",
"United Kingdom",235,"Calor Gas Limited",,42,450,450,"Calor Gas Limited","Sep 17,2011",Invoiced,"230,231,303,232,234,235,",
"United Kingdom",236,"Wynnstay 2011 Accounts",,35,400,400,"Wynnstay Properties","Sep 17,2011",Invoiced,N/A,
"United Kingdom",237,"Granard Ltd",,9,99,99,"Throgmorton UK Ltd","Sep 18,2011","Submitted To Billing",N/A,Paid
"United Kingdom",238,"deloitte test",,15,179,179,Deloitte,"Sep 18,2011","Submitted To Billing",N/A,
"United Kingdom",239,"An Example Ltd",,1,19,19,"IRIS Software","Sep 21,2011",Cancelled,N/A,
"United Kingdom",240,"2nd Test",,2,24.7,24.7,"IRIS Software","Jan 01,1970",Paid,N/A,
"United Kingdom",241,"2010 Accounts",,14,390,390,"Abbey Tours Scotland Ltd","Jan 01,1970",Invoiced,N/A,
